"salary","count"
"48993","5"
"49768","7"
"44127","8"
"45639","10"
"47051","6"
"47766","7"
"42756","5"
"49200","3"
"40694","7"
"47114","9"
"48663","11"
"40488","6"
"47216","9"
"47974","5"
"41011","2"
"42422","9"
"44515","2"
"46486","6"
"42583","2"
"47641","6"
"42166","5"
"41114","7"
"46594","7"
"46063","6"
"43249","6"
"48037","9"
"49406","8"
"41497","12"
"48150","2"
"42498","4"
"49989","6"
"49109","8"
"42647","8"
"41844","5"
"43679","9"
"48766","4"
"44157","6"
"46657","6"
"42411","4"
"46402","4"
"46739","13"
"45926","6"
"49238","6"
"46910","10"
"41806","5"
"49482","12"
"46801","12"
"41805","4"
"43295","4"
"42392","5"
"46178","11"
"48435","4"
"47887","8"
"47295","1"
"43011","3"
"43047","4"
"44784","5"
"46002","7"
"40759","3"
"40832","6"
"49586","2"
"45859","9"
"46937","8"
"43051","5"
"43622","7"
"41315","7"
"47161","5"
"40090","7"
"42324","8"
"44141","5"
"42414","4"
"49711","4"
"41382","5"
"49862","7"
"45878","13"
"49432","9"
"44061","5"
"48308","3"
"43417","9"
"43320","5"
"42400","5"
"47571","3"
"47790","9"
"42965","10"
"44071","5"
"42388","8"
"42716","10"
"44063","6"
"47301","9"
"42515","6"
"42835","11"
"41734","4"
"43560","6"
"44326","12"
"47478","8"
"40778","4"
"45788","4"
"46440","6"
"40392","7"
"43537","6"
"48719","4"
"42759","10"
"48071","8"
"43498","7"
"46889","3"
"41935","7"
"47428","9"
"43885","8"
"49436","3"
"41250","6"
"41028","6"
"45899","4"
"43659","9"
"46133","7"
"46622","11"
"49240","11"
"49724","9"
"49516","5"
"42586","6"
"48350","5"
"49812","3"
"48393","5"
"45082","4"
"44969","11"
"43276","7"
"40417","6"
"45440","7"
"41696","12"
"42088","15"
"49875","5"
"43991","6"
"49008","5"
"42226","8"
"46188","14"
"42711","5"
"45234","8"
"42975","9"
"41788","5"
"44172","6"
"41979","8"
"44505","9"
"45036","3"
"46086","3"
"48889","5"
"46427","9"
"43928","8"
"41405","3"
"42125","6"
"48907","6"
"40510","6"
"44613","5"
"44501","5"
"49477","6"
"43424","10"
"49321","12"
"47324","8"
"48123","8"
"42063","6"
"42444","6"
