"salary","count"
"74710","2"
"71653","3"
"75262","3"
"79030","3"
"72397","2"
"76190","3"
"78604","1"
"76791","3"
"78549","1"
"70467","2"
"74849","3"
"79841","4"
"73874","4"
"76021","1"
"79446","3"
"71624","1"
"77998","3"
"78587","1"
"79600","1"
"74593","2"
"70000","1"
"77649","1"
"74383","3"
"76850","1"
"75151","1"
"74768","1"
"73550","2"
"71295","3"
"71578","4"
"79684","2"
"70907","3"
"74955","1"
"71528","3"
"71791","3"
"72130","7"
"79177","4"
"74226","4"
"75780","1"
"74956","1"
"71159","1"
"78537","2"
"76680","2"
"72178","1"
"77570","2"
"72698","2"
"76265","2"
"76837","2"
"79307","3"
"70675","1"
"74966","1"
"73161","1"
"76806","3"
"71030","7"
"76254","1"
"77932","3"
"72138","4"
"79427","2"
"79224","4"
"76558","6"
"79690","3"
"77248","2"
"70878","2"
"72704","1"
"73758","1"
"75406","7"
"71812","1"
"79232","2"
"71753","2"
"73079","2"
"74480","2"
"76187","3"
"78294","5"
"71715","9"
"73176","3"
"74275","3"
"76861","3"
"76214","3"
"73800","4"
"70756","3"
"74897","1"
"72227","1"
"73679","4"
"78699","1"
"74709","3"
"75408","1"
"72066","4"
"76110","2"
"78111","3"
"79248","4"
"70559","6"
"71564","1"
"78727","2"
"71937","3"
"72240","4"
"73490","5"
"70026","2"
"75175","2"
"76510","2"
"72089","1"
"77716","3"
"76772","5"
"70895","1"
"76336","3"
"78939","2"
"74762","3"
"71203","2"
"75440","2"
"79063","1"
"77618","2"
"78221","2"
"70864","5"
"71322","2"
"73371","1"
"72956","2"
"78367","2"
"71079","8"
"70576","2"
"76217","5"
"78941","3"
"74877","5"
"77107","2"
"79725","3"
"77811","2"
"71638","3"
"72606","2"
"70088","4"
"70602","2"
"71426","3"
"74715","2"
"75537","4"
"75644","4"
"76224","4"
"74726","5"
"79168","1"
"79782","2"
"77287","3"
"73539","4"
"76501","3"
"74045","1"
"78706","2"
"71807","2"
"73543","4"
"73560","4"
"74311","2"
"73430","2"
"72159","2"
"74693","4"
"74743","3"
"77142","1"
"75058","3"
"73515","3"
"77852","1"
"78002","2"
"70767","3"
"76637","7"
"73464","3"
"79048","1"
"72740","3"
"73932","5"
"79522","2"
"71913","1"
"70730","8"
"71693","3"
"79784","2"
"77157","3"
"76029","3"
"74917","3"
"79860","2"
"78179","1"
"70030","2"
"79344","3"
"74071","2"
"72943","3"
"77865","4"
"70395","2"
"75072","2"
"76778","4"
"74462","1"
"78094","2"
"72854","1"
"70572","6"
"74148","1"
"79831","1"
"73984","3"
"79353","1"
"76057","6"
"75222","3"
