"salary","count"
"107440","1"
"115647","1"
"109331","1"
"100436","2"
"106109","1"
"108069","1"
"100600","1"
"106670","1"
"100671","1"
"100027","1"
"107911","1"
"103696","1"
"102420","1"
"109530","1"
"106727","1"
"101271","2"
"109268","1"
"106084","1"
"103097","2"
"121393","1"
"102640","1"
"101205","1"
"108276","1"
"103646","1"
"107289","1"
"103254","1"
"101208","1"
"110719","1"
"100006","1"
"115174","1"
"106308","1"
"101365","1"
"104998","1"
"100058","1"
"107281","1"
"102195","1"
"101600","1"
"113707","1"
"124357","1"
"118375","1"
"102153","1"
"102497","1"
"100594","1"
"109859","1"
"103901","1"
"108686","1"
"103215","1"
"109888","1"
"100340","1"
"103650","1"
"105918","1"
"110635","1"
"111764","1"
"102288","1"
"103976","1"
"127041","1"
"103702","1"
"118250","1"
"106024","1"
"104345","1"
"103436","1"
"100868","1"
"103445","1"
"108972","1"
"114588","1"
"107897","1"
"100478","1"
"107573","1"
"110197","1"
"114440","1"
"101527","1"
"100177","1"
"101028","1"
"101253","1"
"106682","1"
"112995","1"
"103862","1"
"109356","1"
"103725","1"
"105671","1"
"104876","1"
"107849","2"
"107299","1"
"107148","1"
"107376","1"
"102767","1"
"116602","1"
"108840","1"
"105217","1"
"101221","1"
"102302","1"
"108923","1"
"102457","1"
"105904","1"
"112053","1"
"110649","1"
"107359","1"
"101858","1"
"104849","1"
"113219","1"
"104340","1"
"109934","2"
"105838","1"
"100941","1"
"106236","1"
"101572","1"
"104617","1"
"112355","1"
"103393","1"
"105794","1"
"100207","1"
"125469","1"
"102750","1"
"100405","1"
"101967","1"
"102036","2"
"105859","1"
"114550","1"
"107077","1"
"100259","1"
"108858","1"
"102517","1"
"103845","1"
"103171","1"
"102601","1"
"104237","1"
"104427","1"
"100710","1"
"102411","1"
"104981","1"
"108355","1"
"121617","1"
"112334","1"
"101738","1"
"102643","1"
"103811","1"
"103020","1"
"100778","1"
"107445","1"
"107638","1"
"108512","1"
"114844","1"
"102693","1"
"110082","1"
"100424","1"
"109449","2"
"117268","1"
"104181","1"
"101726","1"
"104248","1"
"114918","1"
"107639","1"
"101087","1"
"117206","1"
"105802","1"
"103731","1"
"105615","1"
"101839","1"
"104738","1"
"120986","1"
"101561","1"
"102495","1"
"102133","1"
"106588","1"
"101708","1"
"111241","1"
"103751","1"
"104312","1"
"114927","1"
"117276","1"
"100577","1"
"101419","1"
"115143","1"
"103374","1"
"100843","1"
"101656","1"
"109056","1"
"107983","1"
"100079","1"
"102585","1"
"109814","1"
"103201","1"
"101379","1"
"112519","1"
"100720","1"
"103529","1"
"100168","1"
"107362","1"
"108451","1"
"100695","1"
"106905","1"
"106849","1"
"108929","1"
"101146","1"
"100691","1"
"115739","1"
"103283","2"
"117474","1"
"112785","1"
"108415","1"
"105944","1"
"118095","1"
"106846","1"
"110308","1"
"102008","1"
"109394","1"
"106579","1"
"103579","1"
"101758","1"
"112551","2"
"101227","1"
"103000","1"
"106610","1"
"115777","1"
"102365","1"
"100836","1"
"100784","1"
"105993","1"
"117762","1"
"107767","1"
"106036","1"
"107769","2"
"104877","1"
"106424","1"
"102063","1"
"103344","2"
"103399","1"
"102543","1"
"107813","1"
"103556","1"
"105807","1"
"116448","1"
"100460","1"
"102287","1"
"109763","1"
"100242","1"
"102299","1"
"102371","1"
"115227","1"
"110636","1"
"102084","1"
"108627","1"
"100982","2"
"106784","1"
"105368","1"
"102236","1"
"100738","1"
"105986","1"
"102777","1"
"102360","1"
"100414","1"
"101223","1"
"103732","1"
"110437","1"
"100736","1"
"110099","1"
"101403","1"
"107944","1"
"100026","1"
"100284","1"
"110554","1"
"101174","1"
"114057","1"
"100419","1"
"103779","1"
"107935","1"
"103368","1"
"105085","1"
"108994","1"
"101397","1"
"103919","1"
